Date,Open,High,Low,Close,Adj Close,Volume
2023-05-11,195.929993,196.289993,193.199997,193.979996,193.979996,2870800
2023-05-12,194.940002,195.350006,192.699997,193.619995,193.619995,2102000
2023-05-15,193.500000,195.479996,192.649994,194.309998,194.309998,1565800
2023-05-16,193.960007,193.960007,191.300003,191.610001,191.610001,2050700
2023-05-17,193.029999,196.429993,192.539993,196.020004,196.020004,2421000
2023-05-18,195.449997,198.389999,194.889999,198.250000,198.250000,2438000
2023-05-19,199.500000,200.259995,197.059998,197.350006,197.350006,2669500
2023-05-22,197.050003,198.410004,195.220001,196.929993,196.929993,1763700
2023-05-23,197.199997,197.570007,194.889999,194.970001,194.970001,2158800
2023-05-24,194.929993,195.199997,190.889999,191.860001,191.860001,1744500
2023-05-25,191.869995,192.550003,189.990005,192.270004,192.270004,2421600
2023-05-26,192.779999,194.320007,192.149994,193.750000,193.750000,1972000
2023-05-30,193.600006,194.779999,190.419998,194.550003,194.550003,2256300
